"_real,_time","_totl,_time",missn_time,"timer,_time","_zulu,_time","local,_time","hobbs,_time","_Vind,_kias","_Vind,_keas","Vtrue,_ktas","Vtrue,_ktgs","_Vind,__mph","Vtrue,mphas","Vtrue,mphgs","_Mach,ratio","__VVI,__fpm","Gload,norml","Gload,axial","Gload,_side","alpha,__deg",_beta__deg,"hpath,_true","vpath,__deg","_slip,__deg","pitch,__deg","_roll,__deg","hding,_true","hding,__mag","mavar,__deg","__mag,_comp","__lat,__deg","__lon,__deg","___CG,ftMSL","_gear,ftagl","terrn,ftMSL","p-alt,ftMSL","__lat,orign","__lon,orign","thro1,engin"
81.87,1495.28284,5.93363,0,11.2153,16.7153,3.80302,156.23796,155.78564,200.64513,200.64108,179.79544,230.8983,230.89365,0.32191,120.55799,1.0111,0.06043,-0.00139,3.54899,-0.10746,174.94562,0.42337,-0.07562,3.97302,0.39592,174.86266,174.44507,-0.41759,174.94748,26.50571,82.62648,16320.32324,16038.98047,277.97638,16320.30957,26.5,83,0.11765
81.94147,1495.35437,6.0051,0,11.21532,16.71532,3.80304,156.2299,155.77499,200.632,200.62782,179.78616,230.88319,230.87839,0.32189,122.72457,1.01099,0.06051,-0.00138,3.54899,-0.10721,174.94778,0.42904,-0.07572,3.97868,0.39309,174.86491,174.44733,-0.41758,174.94821,26.50564,82.62649,16320.50293,16039.18652,277.9487,16320.48926,26.5,83,0.11765
82.06612,1495.46997,6.12073,0,11.21535,16.71535,3.80307,156.21596,155.75775,200.61078,200.6064,179.77013,230.85876,230.85373,0.32186,126.24393,1.01071,0.06064,-0.00135,3.54881,-0.10672,174.95128,0.4381,-0.07583,3.98755,0.38898,174.86864,174.45107,-0.41757,174.94931,26.50553,82.6265,16320.79883,16039.30371,278.12704,16320.78418,26.5,83,0.11765
82.17554,1495.57947,6.23016,0,11.21538,16.71538,3.80311,156.20224,155.74144,200.59071,200.58609,179.75433,230.83568,230.83035,0.32183,129.52953,1.01041,0.06081,-0.00133,3.54851,-0.10621,174.95456,0.44651,-0.07586,3.99565,0.38567,174.87224,174.45468,-0.41755,174.95035,26.50543,82.62651,16321.08398,16039.20605,278.51016,16321.07031,26.5,83,0.11765
82.2875,1495.69141,6.34211,0,11.21541,16.71541,3.80314,156.18774,155.72482,200.57028,200.56546,179.73766,230.81218,230.80661,0.32179,132.86095,1.01009,0.06101,-0.00131,3.54814,-0.10574,174.9579,0.45493,-0.0758,4.0037,0.38289,174.87587,174.45833,-0.41753,174.95142,26.50533,82.62652,16321.38184,16039.11328,278.90207,16321.36816,26.5,83,0.11765
82.38102,1495.78491,6.43563,0,11.21544,16.71544,3.80316,156.17529,155.71107,200.55341,200.54836,179.72333,230.79276,230.78693,0.32177,135.61713,1.00981,0.0612,-0.00129,3.54781,-0.10542,174.96066,0.46182,-0.07571,4.01025,0.381,174.87883,174.4613,-0.41752,174.95233,26.50524,82.62653,16321.63477,16039.03809,279.22952,16321.62109,26.5,83,0.11765
82.4936,1495.89746,6.54821,0,11.21547,16.71547,3.80319,156.15999,155.69472,200.53336,200.52803,179.7057,230.76968,230.76355,0.32173,138.8961,1.0095,0.06143,-0.00128,3.54742,-0.10512,174.964,0.46995,-0.07556,4.01799,0.37913,174.88234,174.46483,-0.4175,174.95355,26.50514,82.62654,16321.94434,16038.95312,279.62369,16321.92969,26.5,83,0.11765
82.62269,1496.01379,6.66456,0,11.2155,16.7155,3.80323,156.14391,155.67795,200.51283,200.50726,179.68721,230.74606,230.73964,0.3217,142.24033,1.00918,0.06168,-0.00127,3.54707,-0.10492,174.96742,0.47815,-0.07538,4.02584,0.37753,174.88586,174.46838,-0.41749,174.9549,26.50503,82.62655,16322.26953,16038.87109,280.03116,16322.25488,26.5,83,0.11765
82.75961,1496.14404,6.79481,0,11.21554,16.71554,3.80326,156.12567,155.65947,200.49026,200.48438,179.66621,230.72009,230.7133,0.32167,145.91917,1.00885,0.06197,-0.00127,3.54676,-0.10486,174.97124,0.48712,-0.07518,4.03449,0.37594,174.88963,174.47217,-0.41747,174.95654,26.50491,82.62656,16322.63965,16038.78516,280.48734,16322.62598,26.5,83,0.11765
82.8578,1496.24231,6.893,0,11.21557,16.71557,3.80329,156.11177,155.64574,200.47353,200.46747,179.65022,230.70082,230.69385,0.32164,148.65897,1.00861,0.06218,-0.00127,3.54657,-0.10493,174.97411,0.49374,-0.07503,4.04092,0.37474,174.89236,174.47491,-0.41745,174.95781,26.50482,82.62657,16322.92383,16038.72559,280.83127,16322.91016,26.5,83,0.11765
