_real_time,_totl_time,missn_time,timer_time,_zulu_time,local_time,hobbs_time,_Vind_kias,_Vind_keas,Vtrue_ktas,Vtrue_ktgs,_Vind__mph,Vtruemphas,Vtruemphgs,_Machratio,__VVI__fpm,Gloadnorml,Gloadaxial,Gload_side,alpha__deg,_beta__deg,hpath_true,vpath__deg,_slip__deg,pitch__deg,_roll__deg,hding_true,hding__mag,mavar__deg,__mag_comp,__lat__deg,__lon__deg,___CGftMSL,_gearftagl,terrnftMSL,p-altftMSL,__latorign,__lonorign,thro1engin
35.4668,1489.39954,0.05025,0,11.21367,16.71367,3.80758,1.14592,155.93065,200.81236,200.80429,1.3187,231.09076,231.08145,0.32217,-121.4331,1.26172,0.10271,-0.0034,4.53454,-0.12225,174.72081,-0.31815,-0.07929,4.21741,0.59751,174.6458,174.22734,-0.41845,174.85553,26.51117,82.62593,16314.3623,16028.3623,282.63303,16314.34863,26.5,83,0.00374
36.11151,1489.48401,0.13477,0,11.21369,16.71369,3.8076,5.71956,155.93985,200.82373,200.82013,6.58195,231.10382,231.09969,0.32219,-104.74891,1.25181,0.10082,-0.00243,4.46773,-0.11733,174.72566,-0.19567,-0.08065,4.27299,0.55792,174.65179,174.23335,-0.41844,174.85988,26.51109,82.62594,16314.24121,16028.06641,282.80933,16314.22754,26.5,83,0.00642
36.4323,1489.62329,0.274,0,11.21373,16.71373,3.80764,17.94199,155.95192,200.83896,200.83748,20.64728,231.12135,231.11964,0.32221,-85.08986,1.19288,0.09378,-0.0017,4.24197,-0.10807,174.73283,-0.02374,-0.08173,4.21903,0.5161,174.66293,174.24451,-0.41842,174.8624,26.51096,82.62595,16314.16211,16027.69629,283.09979,16314.14746,26.5,83,0.00988
36.52444,1489.71545,0.36614,0,11.21375,16.71375,3.80766,27.78811,155.95938,200.84859,200.84711,31.97798,231.13243,231.13074,0.32223,-74.45777,1.14253,0.08791,-0.00126,4.04894,-0.10231,174.73727,0.06102,-0.08133,4.1107,0.50164,174.67039,174.25198,-0.41841,174.8624,26.51088,82.62596,16314.17578,16027.5166,283.29224,16314.16113,26.5,83,0.01223
36.64543,1489.83643,0.48713,0,11.21379,16.71379,3.8077,41.74086,155.96986,200.86232,200.86024,48.03453,231.14824,231.14584,0.32225,-61.13483,1.07416,0.08017,-0.0008,3.78349,-0.09632,174.74295,0.13343,-0.07974,3.91762,0.49753,174.67947,174.26108,-0.41839,174.86185,26.51077,82.62598,16314.25,16027.33887,283.54495,16314.23633,26.5,83,0.01537
36.74245,1489.93347,0.58415,0,11.21381,16.71381,3.80772,52.95845,155.97951,200.87498,200.87134,60.9435,231.16281,231.15862,0.32227,-50.49624,1.02835,0.07513,-0.00058,3.58957,-0.09337,174.74741,0.15997,-0.07771,3.75022,0.504,174.68561,174.26723,-0.41838,174.86165,26.51068,82.62598,16314.33594,16027.22168,283.74765,16314.32227,26.5,83,0.01793
36.83537,1490.02637,0.67707,0,11.21384,16.71384,3.80775,63.29698,155.98991,200.88873,200.88649,72.84087,231.17863,231.17606,0.3223,-40.44277,0.98311,0.07026,-0.00042,3.4345,-0.09231,174.75165,0.16229,-0.07543,3.59748,0.51595,174.69026,174.2719,-0.41836,174.86211,26.51059,82.62599,16314.4248,16027.11621,283.94189,16314.41113,26.5,83,0.02047
36.95118,1490.14209,0.79288,0,11.21387,16.71387,3.80778,75.53215,156.00447,200.90782,200.90562,86.92085,231.20061,231.19807,0.32233,-28.26942,0.94763,0.06637,-0.00044,3.29437,-0.09344,174.75694,0.14188,-0.07258,3.43698,0.53536,174.69426,174.27591,-0.41835,174.86377,26.51048,82.62601,16314.5293,16026.97852,284.18414,16314.51465,26.5,83,0.02365
37.07872,1490.26965,0.92042,0,11.21391,16.71391,3.80782,87.78015,156.02229,200.93106,200.92944,101.01559,231.22736,231.22548,0.32236,-16.23591,0.92713,0.06385,-0.00073,3.21298,-0.0973,174.76273,0.1,-0.07,3.31377,0.55723,174.69667,174.27835,-0.41833,174.86702,26.51036,82.62601,16314.61816,16026.80078,284.45108,16314.60449,26.5,83,0.02725
37.21296,1490.40393,1.05466,0,11.21395,16.71395,3.80786,99.25171,156.04228,200.957,200.95332,114.21683,231.2572,231.25296,0.3224,-5.93205,0.92479,0.06298,-0.00147,3.20389,-0.10337,174.76878,0.04814,-0.06836,3.2529,0.57498,174.69756,174.27925,-0.41831,174.87166,26.51024,82.62603,16314.67383,16026.57422,284.73215,16314.66016,26.5,83,0.03106
37.28805,1490.479,1.12975,0,11.21397,16.71397,3.80788,104.92973,156.05365,200.97169,200.97029,120.75098,231.27411,231.27249,0.32243,-1.50903,0.93011,0.06314,-0.00302,3.22511,-0.10713,174.77216,0.02052,-0.06789,3.24655,0.58107,174.69772,174.27943,-0.4183,174.8746,26.51017,82.62604,16314.6875,16026.43164,284.8895,16314.67383,26.5,83,0.03329
37.38195,1490.57288,1.22365,0,11.21399,16.71399,3.8079,111.44104,156.06764,200.98972,200.98611,128.24406,231.29485,231.2907,0.32246,2.64251,0.93929,0.0636,-0.00526,3.27205,-0.11305,174.77652,-0.00936,-0.0664,3.26368,0.58906,174.6971,174.27881,-0.41828,174.87894,26.51008,82.62605,16314.68848,16026.23535,285.08633,16314.67383,26.5,83,0.03602
37.48832,1490.67932,1.33002,0,11.21402,16.71402,3.80793,117.93243,156.08278,201.00919,201.00731,135.71423,231.31725,231.31509,0.32249,5.54982,0.95818,0.0648,-0.00594,3.3397,-0.12145,174.78175,-0.03385,-0.06522,3.30693,0.59688,174.69508,174.27681,-0.41827,174.88412,26.50998,82.62605,16314.67188,16025.99609,285.30936,16314.6582,26.5,83,0.03924
37.59487,1490.78589,1.43657,0,11.21405,16.71405,3.80796,123.6425,156.09682,201.02715,201.0247,142.28525,231.33791,231.3351,0.32252,6.76336,0.97674,0.06598,-0.00635,3.41331,-0.13088,174.7869,-0.04774,-0.06558,3.36676,0.59939,174.69171,174.27347,-0.41825,174.88892,26.50988,82.62607,16314.64453,16025.74512,285.53281,16314.62988,26.5,83,0.04246
37.70298,1490.89392,1.54469,0,11.21408,16.71408,3.80799,128.63222,156.1095,201.04341,201.0417,148.02731,231.35663,231.35466,0.32254,6.66868,0.99692,0.06728,-0.00541,3.48453,-0.13821,174.79169,-0.05061,-0.06896,3.43515,0.58483,174.68903,174.2708,-0.41824,174.89189,26.50978,82.62608,16314.61133,16025.82617,285.41766,16314.59766,26.5,83,0.0458
37.80064,1490.99158,1.64234,0,11.21411,16.71411,3.80802,132.53357,156.11952,201.0562,201.05478,152.51691,231.37134,231.36972,0.32256,5.79672,1.01286,0.06824,-0.00407,3.54105,-0.14095,174.7955,-0.04457,-0.07398,3.49768,0.5558,174.68889,174.27066,-0.41822,174.89214,26.50969,82.62608,16314.58301,16026.10059,285.11655,16314.56934,26.5,83,0.04884
37.9361,1491.10132,1.75209,0,11.21414,16.71414,3.80805,136.35251,156.12885,201.06813,201.06667,156.91167,231.38509,231.38339,0.32258,4.31739,1.02603,0.06895,-0.00336,3.59123,-0.13948,174.79941,-0.02986,-0.07954,3.56247,0.51385,174.69212,174.27391,-0.41821,174.88989,26.50959,82.62609,16314.55859,16026.41406,284.77823,16314.54395,26.5,83,0.05229
38.0755,1491.2406,1.89137,0,11.21418,16.71418,3.80809,140.38631,156.13785,201.07965,201.07884,161.55368,231.39835,231.3974,0.3226,2.41634,1.03675,0.06932,-0.00268,3.63035,-0.13232,174.80396,-0.0023,-0.08508,3.629,0.46134,174.70085,174.28267,-0.41818,174.88382,26.50946,82.62611,16314.54492,16026.8291,284.34888,16314.53125,26.5,83,0.05674
38.16095,1491.32605,1.97682,0,11.2142,16.7142,3.80811,142.46211,156.14182,201.08478,201.08397,163.94247,231.40425,231.40331,0.32261,1.54939,1.03952,0.06918,-0.00232,3.64084,-0.12606,174.80659,0.01746,-0.08731,3.65915,0.43443,174.70813,174.28996,-0.41817,174.87897,26.50938,82.62611,16314.54883,16027.09668,284.08563,16314.53516,26.5,83,0.05948
38.26954,1491.43469,2.08541,0,11.21423,16.71423,3.80814,144.73752,156.14534,201.08939,201.08896,166.56097,231.40953,231.40904,0.32262,0.99961,1.03966,0.06867,-0.00182,3.64107,-0.11711,174.80992,0.04332,-0.08881,3.68514,0.40907,174.71878,174.30063,-0.41816,174.87257,26.50928,82.62613,16314.56934,16027.45117,283.75113,16314.55469,26.5,83,0.06303
38.33596,1491.5011,2.15183,0,11.21425,16.71425,3.80816,145.94672,156.14676,201.09126,201.09081,167.95248,231.41171,231.41118,0.32262,1.034,1.03828,0.06822,-0.00154,3.63538,-0.1116,174.81198,0.05877,-0.08897,3.69484,0.39885,174.72566,174.30751,-0.41815,174.8689,26.50922,82.62613,16314.58887,16027.6748,283.54657,16314.5752,26.5,83,0.0652
38.44011,1491.60522,2.25598,0,11.21428,16.71428,3.80819,147.6114,156.14787,201.09283,201.09261,169.86818,231.41351,231.41324,0.32262,1.71053,1.03393,0.0673,-0.00111,3.6197,-0.10353,174.81526,0.08139,-0.08826,3.70172,0.39125,174.73645,174.31831,-0.41813,174.86409,26.50912,82.62614,16314.63281,16028.04004,283.22598,16314.61816,26.5,83,0.06866
38.54219,1491.70728,2.35806,0,11.21431,16.71431,3.80822,149.00729,156.14792,201.09306,201.09282,171.47453,231.41377,231.4135,0.32262,3.15016,1.02939,0.06639,-0.00083,3.5992,-0.09694,174.81863,0.10097,-0.08662,3.70075,0.39315,174.7464,174.32828,-0.41812,174.86087,26.50903,82.62615,16314.68848,16028.41016,282.91165,16314.67383,26.5,83,0.07201
38.65137,1491.81653,2.46724,0,11.21434,16.71434,3.80825,150.2643,156.14691,201.09201,201.09184,172.92107,231.41255,231.41237,0.32262,5.41994,1.02302,0.06527,-0.00057,3.57572,-0.09185,174.82246,0.11843,-0.0841,3.69471,0.40319,174.75577,174.33766,-0.4181,174.8595,26.50893,82.62616,16314.75977,16028.81738,282.57581,16314.74512,26.5,83,0.07568
38.76254,1491.92761,2.57841,0,11.21437,16.71437,3.80828,151.32579,156.14494,201.08977,201.08949,174.14261,231.40999,231.40967,0.32262,8.34035,1.01693,0.06419,-0.00044,3.55348,-0.08897,174.82658,0.13246,-0.08105,3.68649,0.41912,174.76358,174.34549,-0.41808,174.8605,26.50882,82.62617,16314.8418,16029.24219,282.23383,16314.82812,26.5,83,0.07945
