_real_time,_totl_time,missn_time,timer_time,_zulu_time,local_time,hobbs_time,_Vind_kias,_Vind_keas,Vtrue_ktas,Vtrue_ktgs,_Vind__mph,Vtruemphas,Vtruemphgs,_Machratio,__VVI__fpm,Gloadnorml,Gloadaxial,Gload_side,alpha__deg,_beta__deg,hpath_true,vpath__deg,_slip__deg,pitch__deg,_roll__deg,hding_true,hding__mag,mavar__deg,__mag_comp,__lat__deg,__lon__deg,___CGftMSL,_gearftagl,terrnftMSL,p-altftMSL,__latorign,__lonorign,thro1engin
279.18692,1116.72839,34.20242,0,11.11017,16.61017,3.2489,180.39183,172.35298,386.1499,386.1362,207.59122,444.37338,444.3576,0.67324,320.57132,1.0009,0.04341,-0.00133,2.10138,-0.09567,180.62762,0.4879,-0.07547,2.58514,-1.83779,180.46461,180.02657,-0.43805,179.20844,26.48368,82.36268,44498.51953,44180.17969,316.88257,44498.51953,26.5,83,1
279.30862,1116.87598,34.34993,0,11.11021,16.61021,3.24894,180.38635,172.34727,386.14478,386.13098,207.58492,444.36749,444.35162,0.67323,322.46182,1.00086,0.04342,-0.00133,2.10134,-0.09569,180.61374,0.49047,-0.07551,2.58771,-1.82138,180.45131,180.01331,-0.43801,179.20599,26.48341,82.36268,44499.33594,44177.69141,320.18985,44499.33984,26.5,83,1
279.42435,1117.01868,34.49271,0,11.11025,16.61025,3.24898,180.38095,172.34178,386.1398,386.12582,207.5787,444.36176,444.34567,0.67322,324.27072,1.00075,0.04342,-0.00133,2.10123,-0.0957,180.60042,0.49293,-0.07554,2.5901,-1.80529,180.43857,180.0006,-0.43797,179.20372,26.48316,82.36267,44500.13281,44175.28516,323.39215,44500.13281,26.5,83,1
279.55212,1117.17456,34.64861,0,11.1103,16.6103,3.24902,180.37495,172.33566,386.13422,386.12006,207.57179,444.35535,444.33905,0.67321,326.2283,1.00062,0.04343,-0.00133,2.10108,-0.09572,180.586,0.49556,-0.07558,2.59264,-1.78763,180.4248,179.98688,-0.43793,179.20137,26.48288,82.36267,44501.00391,44172.66016,326.88919,44501.00781,26.5,83,1
279.6777,1117.33044,34.80449,0,11.11034,16.61034,3.24907,180.36885,172.32951,386.12848,386.11423,207.56477,444.34875,444.33234,0.6732,328.15955,1.00049,0.04343,-0.00133,2.10094,-0.09572,180.57172,0.49814,-0.07561,2.59513,-1.7699,180.41116,179.97328,-0.43789,179.1992,26.4826,82.36267,44501.88281,44173.49609,326.93564,44501.88672,26.5,83,1
279.77713,1117.45984,34.93382,0,11.11038,16.61038,3.2491,180.36371,172.3243,386.12366,386.10928,207.55885,444.3432,444.32663,0.67319,329.74429,1.00039,0.04343,-0.00132,2.10084,-0.09573,180.55998,0.50025,-0.07563,2.59718,-1.75515,180.39995,179.9621,-0.43785,179.19746,26.48237,82.36266,44502.61328,44175.63672,325.52368,44502.61719,26.5,83,1
279.9079,1117.62085,35.09486,0,11.11042,16.61042,3.24915,180.35722,172.31783,386.11758,386.10306,207.55139,444.33618,444.31949,0.67318,331.68716,1.00028,0.04344,-0.00133,2.10076,-0.09573,180.54549,0.50282,-0.07566,2.59973,-1.73673,180.38614,179.94833,-0.43781,179.19545,26.48208,82.36266,44503.52734,44178.30859,323.76584,44503.53125,26.5,83,1
280.01804,1117.76013,35.23408,0,11.11046,16.61046,3.24919,180.35156,172.31212,386.11221,386.09756,207.54488,444.33002,444.31317,0.67317,333.34644,1.0002,0.04344,-0.00133,2.10073,-0.09577,180.53308,0.50502,-0.07568,2.60193,-1.72077,180.37428,179.93651,-0.43777,179.19385,26.48183,82.36266,44504.32422,44180.625,322.24625,44504.32812,26.5,83,1
280.15845,1117.92407,35.39812,0,11.1105,16.6105,3.24923,180.3448,172.30537,386.10587,386.09097,207.53709,444.32272,444.30557,0.67316,335.26791,1.00014,0.04345,-0.00133,2.10067,-0.09579,180.5186,0.50758,-0.07571,2.60448,-1.70209,180.36047,179.92274,-0.43773,179.19209,26.48154,82.36266,44505.26562,44183.35547,320.45605,44505.26953,26.5,83,1
280.28931,1118.08521,35.5592,0,11.11055,16.61055,3.24928,180.33817,172.29875,386.09955,386.08463,207.52946,444.31543,444.29828,0.67315,337.12341,1,0.04345,-0.00133,2.10053,-0.09581,180.50455,0.51005,-0.07574,2.60686,-1.68395,180.34705,179.90936,-0.43769,179.19048,26.48125,82.36266,44506.19531,44186.04297,318.6987,44506.19922,26.5,83,1
280.40512,1118.22986,35.70381,0,11.11059,16.61059,3.24932,180.33209,172.29266,386.09369,386.07861,207.52248,444.30872,444.29135,0.67314,338.76172,0.99988,0.04346,-0.00133,2.10038,-0.09584,180.49203,0.51222,-0.07576,2.60892,-1.66771,180.33513,179.89748,-0.43765,179.1891,26.48099,82.36265,44507.03125,44188.46094,317.12079,44507.03516,26.5,83,1
280.52148,1118.37585,35.84986,0,11.11063,16.61063,3.24936,180.32588,172.28654,386.08783,386.07257,207.51532,444.30194,444.28439,0.67313,340.39383,0.99974,0.04346,-0.00133,2.10023,-0.09587,180.47952,0.51436,-0.07579,2.61096,-1.65133,180.3232,179.88559,-0.43761,179.18781,26.48073,82.36265,44507.88281,44190.17578,316.25565,44507.88672,26.5,83,1
280.66714,1118.55151,36.02546,0,11.11068,16.61068,3.24941,180.31833,172.2791,386.08066,386.06528,207.50664,444.2937,444.276,0.67312,342.32892,0.9996,0.04347,-0.00133,2.10008,-0.09592,180.46465,0.51687,-0.07583,2.61337,-1.63169,180.30898,179.87141,-0.43756,179.18639,26.48042,82.36265,44508.90625,44192.24219,315.2164,44508.91016,26.5,83,1
280.7854,1118.69897,36.17303,0,11.11072,16.61072,3.24945,180.31197,172.27278,386.07449,386.05902,207.49931,444.28662,444.2688,0.67311,343.91812,0.99949,0.04347,-0.00133,2.1,-0.09595,180.45227,0.51893,-0.07587,2.6154,-1.61523,180.29716,179.85963,-0.43752,179.18529,26.48015,82.36264,44509.77344,44193.98047,314.3436,44509.77734,26.5,83,1
280.9072,1118.84961,36.32365,0,11.11076,16.61076,3.24949,180.30537,172.2663,386.06818,386.05261,207.49173,444.27933,444.26141,0.6731,345.51178,0.99939,0.04348,-0.00133,2.09996,-0.09597,180.43976,0.52099,-0.07591,2.61746,-1.59845,180.28526,179.84778,-0.43748,179.18423,26.47988,82.36264,44510.66016,44195.75781,313.45349,44510.66406,26.5,83,1
281.02621,1118.99719,36.47113,0,11.1108,16.6108,3.24953,180.29887,172.25989,386.06186,386.04614,207.48425,444.27209,444.25397,0.67309,347.0463,0.99933,0.04348,-0.00134,2.09987,-0.09598,180.42763,0.523,-0.07595,2.61942,-1.58185,180.27373,179.83629,-0.43744,179.18332,26.47962,82.36264,44511.53516,44197.5,312.5824,44511.53906,26.5,83,1
281.1582,1119.15906,36.63304,0,11.11085,16.61085,3.24958,180.29163,172.25282,386.05496,386.03912,207.47591,444.26413,444.24591,0.67307,348.70102,0.99919,0.04349,-0.00133,2.09972,-0.09601,180.41446,0.52514,-0.07599,2.62146,-1.56346,180.2612,179.82381,-0.4374,179.1824,26.47933,82.36264,44512.49609,44199.41797,311.62689,44512.5,26.5,83,1
281.2793,1119.30981,36.78386,0,11.11089,16.61089,3.24962,180.28477,172.25392,386.0657,386.04904,207.46802,444.27649,444.25732,0.67309,350.13571,0.99405,0.0522,-0.00119,2.18759,-0.09641,180.40254,0.52028,-0.07579,2.70449,-1.54479,180.24722,179.80986,-0.43736,179.18172,26.47906,82.36263,44513.38672,44201.19922,310.73755,44513.39062,26.5,83,1
