_real_time,_totl_time,missn_time,timer_time,_zulu_time,local_time,hobbs_time,_Vind_kias,_Vind_keas,Vtrue_ktas,Vtrue_ktgs,_Vind__mph,Vtruemphas,Vtruemphgs,_Machratio,__VVI__fpm,Gloadnorml,Gloadaxial,Gload_side,alpha__deg,_beta__deg,hpath_true,vpath__deg,_slip__deg,pitch__deg,_roll__deg,hding_true,hding__mag,mavar__deg,__mag_comp,__lat__deg,__lon__deg,___CGftMSL,_gearftagl,terrnftMSL,p-altftMSL,__latorign,__lonorign,thro1engin
101.77084,1495.27405,5.92484,0,11.2153,16.7153,3.79804,156.23587,155.78328,200.64229,200.63814,179.79303,230.89503,230.89026,0.32191,121.32313,1.01109,0.06043,-0.00137,3.54906,-0.10707,174.95192,0.42533,-0.0755,3.97507,0.41068,174.87027,174.45267,-0.4176,174.96475,26.50572,82.62648,16320.37988,16039.03125,277.97998,16320.36523,26.5,83,0.11765
101.88049,1495.38379,6.03448,0,11.21533,16.71533,3.79807,156.22318,155.76689,200.62207,200.61774,179.77843,230.87178,230.86678,0.32187,124.66543,1.01088,0.06055,-0.00135,3.549,-0.10672,174.95543,0.43401,-0.0756,3.98368,0.40699,174.8739,174.45633,-0.41758,174.96613,26.50561,82.62649,16320.65723,16039.35156,277.93759,16320.64355,26.5,83,0.11765
101.99189,1495.49512,6.14588,0,11.21536,16.71536,3.7981,156.20959,155.75018,200.60149,200.59697,179.7628,230.84808,230.84288,0.32184,128.02972,1.01059,0.06068,-0.00133,3.54877,-0.1063,174.95895,0.44267,-0.07564,3.9921,0.4037,174.87764,174.46008,-0.41756,174.96744,26.50551,82.6265,16320.94531,16039.36328,278.21548,16320.93164,26.5,83,0.11765
102.1123,1495.60718,6.25786,0,11.21539,16.71539,3.79813,156.19534,155.7334,200.58084,200.57607,179.7464,230.82433,230.81882,0.32181,131.37859,1.01028,0.06086,-0.00132,3.54843,-0.10592,174.96248,0.4512,-0.07561,4.00029,0.40088,174.88136,174.46382,-0.41755,174.96878,26.50541,82.62651,16321.24121,16039.26562,278.60742,16321.22656,26.5,83,0.11765
102.22016,1495.71497,6.36572,0,11.21542,16.71542,3.79816,156.18124,155.71733,200.56113,200.55612,179.73018,230.80164,230.79587,0.32178,134.56071,1.00996,0.06106,-0.0013,3.54805,-0.10558,174.96587,0.45925,-0.07554,4.00795,0.3986,174.88495,174.46742,-0.41753,174.97012,26.50531,82.62652,16321.53027,16039.17773,278.98511,16321.5166,26.5,83,0.11765
102.31384,1495.80872,6.4594,0,11.21545,16.71545,3.79819,156.16866,155.70352,200.54417,200.53894,179.71568,230.78212,230.77609,0.32175,137.306,1.00969,0.06125,-0.00129,3.54772,-0.10538,174.96878,0.46609,-0.07545,4.01445,0.39691,174.88795,174.47044,-0.41752,174.97134,26.50522,82.62653,16321.78613,16039.10547,279.31308,16321.77148,26.5,83,0.11765
102.42252,1495.91736,6.56808,0,11.21548,16.71548,3.79822,156.15382,155.68767,200.52477,200.51927,179.69862,230.75978,230.75346,0.32172,140.44617,1.00938,0.06148,-0.00128,3.54735,-0.10521,174.97215,0.47386,-0.07532,4.02185,0.39519,174.8914,174.47391,-0.4175,174.97281,26.50512,82.62654,16322.08691,16039.02637,279.6937,16322.07324,26.5,83,0.11765
102.5293,1496.02417,6.67486,0,11.21551,16.71551,3.79825,156.13898,155.67227,200.50592,200.50009,179.68153,230.73811,230.7314,0.32169,143.49196,1.00909,0.06171,-0.00128,3.54704,-0.10514,174.97546,0.48133,-0.07519,4.02901,0.39365,174.89467,174.47719,-0.41749,174.97426,26.50502,82.62655,16322.3877,16038.95312,280.06763,16322.37402,26.5,83,0.11765
102.63818,1496.13306,6.78373,0,11.21554,16.71554,3.79828,156.12366,155.65677,200.48698,200.48105,179.66389,230.71631,230.70947,0.32166,146.56129,1.00881,0.06195,-0.00128,3.54677,-0.10515,174.97881,0.4888,-0.07506,4.0362,0.39212,174.89792,174.48045,-0.41747,174.97581,26.50492,82.62656,16322.69922,16038.88281,280.44897,16322.68555,26.5,83,0.11765
102.75845,1496.24487,6.89566,0,11.21557,16.71557,3.79831,156.10777,155.64099,200.46776,200.46156,179.64563,230.69418,230.68706,0.32163,149.67136,1.00855,0.06219,-0.00129,3.54656,-0.10523,174.98224,0.49631,-0.07494,4.04351,0.3905,174.90117,174.48372,-0.41745,174.97743,26.50482,82.62657,16323.02441,16038.81543,280.841,16323.01074,26.5,83,0.11765
102.8667,1496.35315,7.00391,0,11.2156,16.7156,3.79834,156.09233,155.62599,200.44948,200.44302,179.62785,230.67316,230.66573,0.3216,152.62625,1.00834,0.06243,-0.0013,3.54641,-0.10539,174.98553,0.50345,-0.07486,4.05049,0.38878,174.90419,174.48676,-0.41744,174.97899,26.50471,82.62658,16323.34375,16038.75586,281.22028,16323.3291,26.5,83,0.11765
103.00326,1496.46704,7.11783,0,11.21563,16.71563,3.79837,156.07602,155.62328,200.44708,200.43771,179.60909,230.67039,230.65961,0.3216,155.67873,0.86308,0.07643,-0.00165,3.61164,-0.09989,174.98734,0.4818,-0.08234,4.094,0.36473,174.91043,174.49301,-0.41742,174.97691,26.50461,82.62659,16323.67969,16038.69336,281.61945,16323.66504,26.5,83,0.11765
103.10746,1496.57129,7.22204,0,11.21566,16.71566,3.7984,156.05959,155.57037,200.37978,200.38951,179.59016,230.59294,230.60414,0.32149,157.81741,0.74898,-0.0347,-0.00087,4.44799,-0.09241,174.98924,0.33267,-0.08314,4.78113,0.3461,174.92368,174.50627,-0.41741,174.97534,26.50451,82.62659,16323.92285,16038.57227,281.98462,16323.90918,26.5,83,0.11765
