_real_time,_totl_time,missn_time,timer_time,_zulu_time,local_time,hobbs_time,_Vind_kias,_Vind_keas,Vtrue_ktas,Vtrue_ktgs,_Vind__mph,Vtruemphas,Vtruemphgs,_Machratio,__VVI__fpm,Gloadnorml,Gloadaxial,Gload_side,alpha__deg,_beta__deg,hpath_true,vpath__deg,_slip__deg,pitch__deg,_roll__deg,hding_true,hding__mag,mavar__deg,__mag_comp,__lat__deg,__lon__deg,___CGftMSL,_gearftagl,terrnftMSL,p-altftMSL,__latorign,__lonorign,thro1engin
415.62167,1300.70154,218.17552,0,11.16128,16.66128,3.18071,179.36186,171.25604,388.77203,388.77051,206.40594,447.39087,447.38913,0.67781,104.76011,0.99372,0.03968,-0.00137,2.09068,-0.09949,182.15601,0.15076,-0.07879,2.24245,0.6642,182.08076,181.69016,-0.39061,181.90382,26.15415,82.342,45048.06641,44779.53906,266.3407,45048.07031,26.5,82,1
415.70697,1300.78931,218.26331,0,11.1613,16.6613,3.18073,179.36194,171.25613,388.77341,388.77167,206.40604,447.39246,447.39047,0.67781,104.65504,0.99373,0.03968,-0.00137,2.09072,-0.09949,182.15851,0.15061,-0.07879,2.24234,0.66557,182.08331,181.69272,-0.39059,181.90733,26.15399,82.342,45048.21484,44782.17188,263.85965,45048.21875,26.5,82,1
415.80597,1300.91028,218.38432,0,11.16133,16.66133,3.18077,179.36194,171.25603,388.77527,388.7738,206.40604,447.39459,447.39291,0.67782,104.51203,0.99379,0.03968,-0.00137,2.09074,-0.0995,182.16197,0.15042,-0.0788,2.24217,0.66756,182.08684,181.69627,-0.39056,181.91216,26.15378,82.34198,45048.42188,44786.02734,260.20682,45048.42578,26.5,82,1
415.89261,1301.01965,218.49362,0,11.16137,16.66137,3.1808,179.36197,171.2561,388.77701,388.77533,206.40607,447.39661,447.39468,0.67782,104.38184,0.99378,0.03968,-0.00137,2.09072,-0.09951,182.1651,0.15025,-0.07882,2.24199,0.66943,182.09003,181.69949,-0.39053,181.91655,26.15358,82.34197,45048.60547,44790.47266,255.94977,45048.60938,26.5,82,1
415.99295,1301.12,218.59398,0,11.16139,16.66139,3.18082,179.36203,171.25604,388.77859,388.77707,206.40614,447.39844,447.39667,0.67782,104.2657,0.99377,0.03968,-0.00137,2.09069,-0.09953,182.16798,0.1501,-0.07883,2.24181,0.67116,182.09296,181.70245,-0.3905,181.92058,26.1534,82.34196,45048.77344,44794.55078,252.04115,45048.77734,26.5,82,1
416.07822,1301.20862,218.68262,0,11.16142,16.66142,3.18085,179.36209,171.25615,388.77997,388.77823,206.40622,447.40002,447.39801,0.67783,104.16206,0.99376,0.03968,-0.00137,2.09066,-0.09952,182.17055,0.14996,-0.07884,2.24164,0.67268,182.09558,181.70511,-0.39048,181.92415,26.15324,82.34196,45048.92578,44791.13672,255.60747,45048.92969,26.5,82,1
416.17786,1301.328,218.80202,0,11.16145,16.66145,3.18088,179.36217,171.25603,388.78183,388.7804,206.4063,447.40216,447.40051,0.67783,104.0251,0.99375,0.03967,-0.00137,2.09062,-0.09953,182.174,0.14976,-0.07885,2.24141,0.67473,182.09909,181.70865,-0.39045,181.929,26.15302,82.34195,45049.125,44786.08594,260.85681,45049.12891,26.5,82,1
416.271,1301.4281,218.90205,0,11.16148,16.66148,3.18091,179.36226,171.25606,388.78342,388.78192,206.4064,447.40399,447.40225,0.67783,103.911,0.99374,0.03967,-0.00137,2.09061,-0.09952,182.1769,0.1496,-0.07886,2.24123,0.67646,182.10207,181.71164,-0.39042,181.93304,26.15284,82.34194,45049.29297,44781.85547,265.25629,45049.29688,26.5,82,1
416.3703,1301.52734,219.00134,0,11.16151,16.66151,3.18094,179.36232,171.25609,388.78506,388.78351,206.40648,447.40588,447.40408,0.67783,103.79892,0.99374,0.03967,-0.00137,2.0906,-0.09949,182.17979,0.14944,-0.07887,2.24107,0.67819,182.10504,181.71465,-0.3904,181.9371,26.15267,82.34193,45049.46094,44777.65625,269.6236,45049.46484,26.5,82,1
416.47543,1301.65637,219.13039,0,11.16154,16.66154,3.18097,179.36241,171.25607,388.78708,388.78555,206.40659,447.4082,447.40643,0.67784,103.65128,0.99375,0.03966,-0.00137,2.09063,-0.09951,182.18355,0.14922,-0.07888,2.24088,0.68046,182.10887,181.71851,-0.39036,181.94241,26.15243,82.34193,45049.67578,44775.31641,272.17853,45049.67969,26.5,82,1
416.61249,1301.82104,219.29506,0,11.16159,16.66159,3.18102,179.36261,171.25607,388.78958,388.78809,206.40681,447.4111,447.40936,0.67784,103.46391,0.99378,0.03966,-0.00137,2.09069,-0.09951,182.18839,0.14896,-0.07889,2.24069,0.68339,182.11382,181.7235,-0.39032,181.94925,26.15214,82.34191,45049.95312,44774.4375,273.33957,45049.95703,26.5,82,1
416.71045,1301.91907,219.39302,0,11.16162,16.66162,3.18105,179.36267,171.25613,388.79123,388.78967,206.40688,447.41296,447.41119,0.67785,103.35496,0.99383,0.03966,-0.00137,2.0907,-0.09949,182.19127,0.14882,-0.07889,2.24056,0.68506,182.11678,181.72649,-0.39029,181.95331,26.15196,82.3419,45050.11719,44773.90625,274.03082,45050.12109,26.5,82,1
416.84009,1302.07288,219.54688,0,11.16166,16.66166,3.18109,179.36279,171.25613,388.79364,388.79211,206.40703,447.41577,447.414,0.67785,103.18253,0.99382,0.03966,-0.00137,2.09068,-0.0995,182.1958,0.1486,-0.07889,2.24033,0.68755,182.1214,181.73114,-0.39025,181.95969,26.15168,82.3419,45050.375,44773.08203,275.11606,45050.37891,26.5,82,1
416.94064,1302.17346,219.64742,0,11.16169,16.66169,3.18112,179.36292,171.25612,388.7952,388.79376,206.40717,447.41754,447.41589,0.67785,103.07278,0.99381,0.03966,-0.00137,2.09065,-0.0995,182.19879,0.14846,-0.07889,2.24015,0.68915,182.12444,181.73421,-0.39023,181.96387,26.1515,82.34189,45050.54297,44772.53906,275.8259,45050.54297,26.5,82,1
417.03082,1302.26953,219.74353,0,11.16171,16.66171,3.18114,179.36295,171.25618,388.79675,388.79529,206.4072,447.41931,447.41763,0.67785,102.96808,0.9938,0.03965,-0.00137,2.09062,-0.09952,182.20164,0.14831,-0.07889,2.23998,0.69067,182.12732,181.73712,-0.3902,181.9679,26.15133,82.34188,45050.70312,44771.80469,276.72141,45050.70312,26.5,82,1
417.11682,1302.35925,219.8333,0,11.16174,16.66174,3.18117,179.36293,171.2731,388.83621,388.82104,206.40718,447.46475,447.4473,0.67792,102.7588,0.53217,0.05308,-0.00239,2.49311,-0.10463,182.20407,0.06881,-0.06286,2.56304,0.71957,182.13075,181.74057,-0.39018,181.97231,26.15117,82.34187,45050.8125,44768.20312,280.43585,45050.81641,26.5,82,1
417.21841,1302.47949,219.95348,0,11.16177,16.66177,3.1812,179.35413,171.07565,388.38797,388.45276,206.39705,446.94888,447.02347,0.67714,99.888,1.03707,-0.25607,0.00016,5.10078,-0.11575,182.20665,-0.0523,-0.06645,5.04955,0.75053,182.15764,181.76749,-0.39014,181.97784,26.15095,82.34187,45050.79297,44763.21094,285.40692,45050.79688,26.5,82,1
417.32196,1302.58301,220.05702,0,11.1618,16.6618,3.18123,179.28944,170.73846,387.62256,387.70621,206.32262,446.06808,446.16434,0.67581,93.9967,2.42342,-0.07414,-0.00363,9.27054,-0.12705,182.21297,0.16429,-0.06546,9.43569,0.75732,182.20793,181.81781,-0.39012,181.98735,26.15077,82.34186,45050.82812,44760.62109,288.03528,45050.83203,26.5,82,1
417.43533,1302.71533,220.18932,0,11.16184,16.66184,3.18127,178.92979,170.09267,386.16354,386.27185,205.90874,444.3891,444.51373,0.67326,93.54002,4.28524,0.43034,-0.00612,15.5768,-0.1027,182.22697,1.05213,-0.06673,16.62908,0.65841,182.3011,181.91101,-0.39008,182.00375,26.15053,82.34184,45051.73047,44761.44141,288.11905,45051.73438,26.5,82,1
417.53384,1302.81384,220.28783,0,11.16186,16.66186,3.18129,178.27591,169.521,384.88144,384.7673,205.15627,442.91367,442.78232,0.67103,115.68588,5.13923,1.13474,-0.00269,19.37672,-0.03284,182.2393,2.1332,-0.06645,21.50949,0.51026,182.37585,181.98579,-0.39006,182.01164,26.15035,82.34184,45053.54297,44763.19141,288.18164,45053.54688,26.5,82,1
417.64249,1302.92859,220.40254,0,11.1619,16.6619,3.18133,176.9355,168.76872,383.20688,382.65891,203.61374,440.98663,440.35602,0.66811,190.02428,5.39248,1.21055,0.0088,20.51897,0.10197,182.25168,3.5948,-0.06114,24.11321,0.24485,182.43983,182.0498,-0.39003,182.00613,26.15015,82.34183,45057.35547,44766.93359,288.25452,45057.35938,26.5,82,1
417.73883,1303.0249,220.49886,0,11.16192,16.66192,3.18135,175.46465,168.04169,381.59747,380.44888,201.92111,439.13452,437.81277,0.6653,305.45691,5.70297,1.02471,0.01182,18.12304,0.14583,182.25882,4.87209,-0.05278,22.99462,0.18597,182.46323,182.07323,-0.39,181.98586,26.14998,82.34182,45062.00391,44771.51562,288.31573,45062.00781,26.5,82,1
417.87689,1303.18982,220.66379,0,11.16197,16.66197,3.1814,172.97835,166.91061,379.12729,376.67801,199.05994,436.2919,433.47333,0.661,643.67169,3.18755,0.04573,0.01051,6.73402,0.06773,182.27617,6.69764,-0.03949,13.43035,0.70522,182.42761,182.03766,-0.38996,181.98299,26.14969,82.34181,45073.09375,44784.625,286.30215,45073.09766,26.5,82,1
