_real_time,_totl_time,missn_time,timer_time,_zulu_time,local_time,hobbs_time,_Vind_kias,_Vind_keas,Vtrue_ktas,Vtrue_ktgs,_Vind__mph,Vtruemphas,Vtruemphgs,_Machratio,__VVI__fpm,Gloadnorml,Gloadaxial,Gload_side,alpha__deg,_beta__deg,hpath_true,vpath__deg,_slip__deg,pitch__deg,_roll__deg,hding_true,hding__mag,mavar__deg,__mag_comp,__lat__deg,__lon__deg,___CGftMSL,_gearftagl,terrnftMSL,p-altftMSL,__latorign,__lonorign,thro1engin
26.40854,1489.39954,0.05025,0,11.21367,16.71367,3.93344,1.14592,155.93065,200.81236,200.80429,1.3187,231.09076,231.08145,0.32217,-121.4331,1.26172,0.10271,-0.0034,4.53454,-0.12225,174.72081,-0.31815,-0.07929,4.21741,0.59751,174.6458,174.22734,-0.41845,174.85553,26.51117,82.62593,16314.3623,16028.3623,282.63303,16314.34863,26.5,83,0.00374
27.04973,1489.48401,0.13478,0,11.21369,16.71369,3.93346,5.72052,155.93985,200.82373,200.82013,6.58306,231.10382,231.09969,0.32219,-104.7467,1.2518,0.10082,-0.00243,4.46771,-0.11733,174.72566,-0.19565,-0.08065,4.27299,0.55791,174.65179,174.23335,-0.41844,174.85988,26.51109,82.62594,16314.24121,16028.06641,282.80936,16314.22754,26.5,83,0.00642
27.37305,1489.61584,0.26652,0,11.21373,16.71373,3.9335,17.28474,155.95131,200.83818,200.83572,19.89092,231.12047,231.11763,0.32221,-85.95956,1.20078,0.09471,-0.00178,4.2548,-0.10859,174.73245,-0.03125,-0.08173,4.22436,0.51792,174.66229,174.24387,-0.41842,174.8624,26.51097,82.62595,16314.16406,16027.71387,283.08423,16314.15039,26.5,83,0.00968
27.48014,1489.7229,0.37361,0,11.21376,16.71376,3.93353,28.78993,155.96001,200.8494,200.84801,33.13086,231.13336,231.13176,0.32223,-73.5901,1.13704,0.08728,-0.00122,4.02959,-0.10184,174.73766,0.0672,-0.08133,4.09752,0.5013,174.67104,174.25262,-0.41841,174.86247,26.51087,82.62596,16314.18066,16027.50684,283.30777,16314.16699,26.5,83,0.01242
27.5699,1489.81262,0.46337,0,11.21378,16.71378,3.93355,39.10385,155.96774,200.85953,200.85756,44.9999,231.14502,231.14276,0.32225,-63.72978,1.08698,0.0816,-0.00088,3.83239,-0.09726,174.74185,0.1228,-0.08019,3.95588,0.49754,174.67784,174.25945,-0.41839,174.86206,26.51079,82.62598,16314.23438,16027.37207,283.49533,16314.21973,26.5,83,0.01475
27.67405,1489.91675,0.56752,0,11.21381,16.71381,3.93358,51.13368,155.97783,200.8728,200.87042,58.84359,231.16029,231.15756,0.32227,-52.37138,1.03162,0.07551,-0.00058,3.61937,-0.0937,174.74666,0.1568,-0.07813,3.77685,0.50277,174.68471,174.26633,-0.41838,174.86179,26.51069,82.62598,16314.32227,16027.24219,283.71289,16314.30859,26.5,83,0.0175
27.7417,1489.98438,0.63517,0,11.21383,16.71383,3.9336,58.77774,155.98515,200.88245,200.88042,67.64021,231.1714,231.16907,0.32228,-45.0004,0.9991,0.072,-0.00046,3.49908,-0.09255,174.74976,0.1632,-0.07652,3.66297,0.51045,174.68837,174.27,-0.41837,174.86195,26.51063,82.62599,16314.38672,16027.16602,283.85434,16314.37305,26.5,83,0.01933
27.84647,1490.08398,0.73472,0,11.21386,16.71386,3.93363,69.66949,155.99701,200.89806,200.89618,80.17422,231.18936,231.18719,0.32231,-34.24595,0.96258,0.06804,-0.00041,3.3563,-0.09257,174.7543,0.15478,-0.07402,3.51179,0.52587,174.69254,174.27419,-0.41835,174.86292,26.51053,82.626,16314.48047,16027.05176,284.06247,16314.46582,26.5,83,0.02205
27.96968,1490.20715,0.85793,0,11.21389,16.71389,3.93366,82.12418,156.0134,200.91949,200.91798,94.50682,231.21404,231.2123,0.32234,-21.84292,0.93439,0.06483,-0.00057,3.24365,-0.09514,174.75992,0.12224,-0.07118,3.36664,0.54742,174.69576,174.27742,-0.41834,174.86542,26.51042,82.62601,16314.58008,16026.89355,284.32028,16314.56641,26.5,83,0.02548
28.11175,1490.34363,0.99438,0,11.21393,16.71393,3.9337,94.52104,156.03322,200.94525,200.94019,108.77287,231.24367,231.23784,0.32239,-10.09812,0.92442,0.06326,-0.00116,3.2009,-0.10055,174.7661,0.07177,-0.06891,3.27351,0.56856,174.6973,174.27898,-0.41832,174.86967,26.51029,82.62602,16314.65527,16026.68164,284.60593,16314.64062,26.5,83,0.0293
