_real_time,_totl_time,missn_time,timer_time,_zulu_time,local_time,hobbs_time,_Vind_kias,_Vind_keas,Vtrue_ktas,Vtrue_ktgs,_Vind__mph,Vtruemphas,Vtruemphgs,_Machratio,__VVI__fpm,Gloadnorml,Gloadaxial,Gload_side,alpha__deg,_beta__deg,hpath_true,vpath__deg,_slip__deg,pitch__deg,_roll__deg,hding_true,hding__mag,mavar__deg,__mag_comp,__lat__deg,__lon__deg,___CGftMSL,_gearftagl,terrnftMSL,p-altftMSL,__latorign,__lonorign,thro1engin
26.79064,1489.39954,0.05025,0,11.21367,16.71367,3.88987,1.14592,155.93065,200.81236,200.80429,1.3187,231.09076,231.08145,0.32217,-121.4331,1.26172,0.10271,-0.0034,4.53454,-0.12225,174.72081,-0.31815,-0.07929,4.21741,0.59751,174.6458,174.22734,-0.41845,174.85553,26.51117,82.62593,16314.3623,16028.3623,282.63303,16314.34863,26.5,83,0.00374
27.45051,1489.5,0.15075,0,11.21369,16.71369,3.8899,6.99317,155.94142,200.82571,200.8213,8.0476,231.10611,231.10104,0.32219,-102.09785,1.24902,0.10049,-0.00241,4.44586,-0.11634,174.72653,-0.17346,-0.08095,4.27331,0.55231,174.65302,174.23457,-0.41844,174.86047,26.51108,82.62595,16314.22656,16028.01758,282.84262,16314.21289,26.5,83,0.0068
27.76491,1489.63562,0.28639,0,11.21373,16.71373,3.88993,19.35537,155.95302,200.84036,200.83864,22.27376,231.12297,231.12099,0.32222,-83.62119,1.18717,0.0931,-0.00165,4.21488,-0.10732,174.73346,-0.01086,-0.08183,4.20481,0.5144,174.66396,174.24553,-0.41842,174.86261,26.51095,82.62595,16314.16309,16027.66992,283.12567,16314.14941,26.5,83,0.01019
27.85712,1489.72791,0.37861,0,11.21376,16.71376,3.88996,29.32011,155.96053,200.85007,200.84872,33.74098,231.13414,231.1326,0.32223,-73.13133,1.13411,0.08695,-0.0012,4.01976,-0.10163,174.7379,0.07022,-0.08134,4.09072,0.50134,174.67142,174.25301,-0.41841,174.86253,26.51087,82.62596,16314.18262,16027.49707,283.3183,16314.16895,26.5,83,0.01255
27.95615,1489.8269,0.47764,0,11.21379,16.71379,3.88999,40.78055,155.96913,200.86136,200.85938,46.92942,231.14714,231.14485,0.32225,-62.23143,1.07886,0.0807,-0.00083,3.80235,-0.09674,174.74254,0.12903,-0.08003,3.93208,0.49824,174.67885,174.26045,-0.41839,174.86212,26.51077,82.62598,16314.24512,16027.35352,283.52509,16314.23047,26.5,83,0.01512
28.04343,1489.91418,0.56492,0,11.21381,16.71381,3.89001,50.81534,155.97765,200.87256,200.87016,58.47725,231.16002,231.15726,0.32227,-52.75446,1.0334,0.0757,-0.00059,3.62538,-0.09383,174.74655,0.15587,-0.07826,3.78193,0.50293,174.68454,174.26616,-0.41838,174.86192,26.51069,82.62598,16314.31934,16027.24609,283.70746,16314.30566,26.5,83,0.01743
28.15379,1490.02454,0.67527,0,11.21384,16.71384,3.89004,63.26161,155.98984,200.88863,200.88654,72.80016,231.17851,231.1761,0.32229,-40.68519,0.98338,0.0703,-0.00043,3.43701,-0.09234,174.7516,0.16214,-0.07561,3.59984,0.51663,174.69025,174.27188,-0.41836,174.86241,26.51059,82.62599,16314.4248,16027.11914,283.9382,16314.41016,26.5,83,0.02042
28.20007,1490.0708,0.72156,0,11.21385,16.71385,3.89005,68.20953,155.99548,200.89606,200.89363,78.49413,231.18706,231.18427,0.32231,-35.78926,0.96787,0.0686,-0.0004,3.37336,-0.09245,174.75372,0.15655,-0.07444,3.53061,0.52393,174.69212,174.27377,-0.41836,174.86295,26.51055,82.626,16314.46777,16027.06641,284.03494,16314.4541,26.5,83,0.02168
28.35413,1490.20898,0.85974,0,11.21389,16.71389,3.89009,82.22688,156.01379,200.92,200.9182,94.62501,231.21461,231.21254,0.32235,-21.83831,0.93454,0.06483,-0.00052,3.24308,-0.09518,174.76003,0.12125,-0.07123,3.3651,0.54799,174.69586,174.27753,-0.41834,174.86571,26.51042,82.62601,16314.58105,16026.89062,284.3241,16314.56641,26.5,83,0.02553
28.41301,1490.26782,0.91861,0,11.21391,16.71391,3.89011,87.66641,156.02222,200.931,200.92952,100.88471,231.22726,231.22557,0.32236,-16.55487,0.92743,0.06388,-0.00063,3.21411,-0.0972,174.76271,0.10019,-0.07017,3.31509,0.55784,174.69679,174.27847,-0.41833,174.8674,26.51036,82.62601,16314.61816,16026.80566,284.4473,16314.60449,26.5,83,0.0272
28.54767,1490.40259,1.05328,0,11.21395,16.71395,3.89015,99.15876,156.04228,200.95699,200.95552,114.10986,231.25719,231.25549,0.3224,-6.20407,0.92576,0.06303,-0.00102,3.20398,-0.10326,174.76883,0.04837,-0.06862,3.25323,0.57581,174.69775,174.27945,-0.41831,174.87204,26.51024,82.62603,16314.6748,16026.57812,284.72922,16314.66016,26.5,83,0.03106
28.66419,1490.51904,1.1698,0,11.21398,16.71398,3.89018,107.82924,156.05988,200.97972,200.97563,124.08768,231.28336,231.27864,0.32244,0.27052,0.93465,0.06324,-0.00156,3.24405,-0.10905,174.77403,0.00669,-0.06854,3.25168,0.58388,174.69803,174.27974,-0.41829,174.87656,26.51013,82.62604,16314.69043,16026.35059,284.97336,16314.67578,26.5,83,0.03442
28.75675,1490.61157,1.26235,0,11.214,16.714,3.8902,113.90318,156.07356,200.99734,200.99521,131.07745,231.30362,231.30116,0.32247,3.73035,0.9496,0.06414,-0.00215,3.29735,-0.11334,174.77814,-0.01977,-0.06924,3.27856,0.58426,174.69841,174.28014,-0.41828,174.88004,26.51005,82.62605,16314.68457,16026.15039,285.16736,16314.6709,26.5,83,0.0372
28.85848,1490.71338,1.36409,0,11.21403,16.71403,3.89023,119.8312,156.08783,201.01564,201.01297,137.89929,231.32468,231.32161,0.3225,5.92659,0.96723,0.06526,-0.00253,3.36813,-0.11723,174.78259,-0.03973,-0.07067,3.32941,0.57884,174.69939,174.28113,-0.41826,174.88347,26.50995,82.62606,16314.66504,16025.91797,285.38074,16314.65039,26.5,83,0.04025
